 [Intensity of color(or black and white)]," [Size of the picture(life size, larger or smaller)]", [Size of central object(s)], [Distance of picture from self], [Distance of central object from self], [Intermittent or steady focus], [Focus on particular parts(the way we see in serials)], [Moving or still frames], [Panorama or framed], [Brightness], [3D quality], [Degree of contrast], [Movements of objects (fast or slow)], [Angle viewed from], [Location(try changing it to a beautiful one)], [Volume], [Tempo], [Tonality]," [Rhythm(regular/irregular),]", [Inflections(words marked out)]," [Timbre(quality,where resonating from)]", [Pauses in speech], [Sound move around--spatial]," [Uniqueness of sound(gravelly,smooth and so on)]", [Temperature], [Texture], [Vibration], [Pressure], [Movement], [Duration], [Steady-Intermittent], [Intensity], [Weight], [Density]
High affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect,High affect,High affect,High affect,High affect,Moderate affect,High affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect,High affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,High affect,High affect
Moderate affect,Moderate affect,Less affect,Moderate affect,Less affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect,Moderate affect,Moderate affect
Moderate affect,High affect,High affect,High affect,High affect,High affect,High affect,Less affect,Less affect,Less affect,Less affect,Less affect,Less affect,Less affect,High affect,Less affect,Less affect,Less affect,Less affect,Less affect,Less affect,Less affect,Moderate affect,High affect,Less affect,Less affect,Less affect,Less affect,Less affect,Moderate affect,Less affect,Moderate affect,Less affect,Less affect
Less affect,Moderate affect,Moderate affect,High affect,High affect,Moderate affect,Moderate affect,High affect,High affect,Less affect,High affect,Less affect,Moderate affect,High affect,High affect,High affect,Moderate affect,High affect,Moderate affect,Less affect,Less affect,Less affect,Less affect,High affect,High affect,Moderate affect,Less affect,Less affect,Moderate affect,High affect,Less affect,Moderate affect,Moderate affect,Moderate affect
High affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect,Less affect,Less affect,Less affect,High affect,Less affect,Less affect,High affect,Less affect,Less affect,High affect,High affect,High affect,High affect,High affect,High affect,High affect,High affect,High affect,High affect,Less affect,Less affect,Less affect,High affect,High affect,Less affect,Less affect,Less affect,Less affect
Moderate affect,High affect,Moderate affect,High affect,Moderate affect,Moderate affect,Less affect,Less affect,Less affect,Less affect,High affect,Moderate affect,High affect,High affect,High affect,High affect,High affect,High affect,High affect,High affect,Moderate affect,Moderate affect,Moderate affect,Less affect,Less affect,Less affect,Moderate affect,Moderate affect,High affect,Moderate affect,High affect,Moderate affect,High affect,Moderate affect
Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect,Moderate affect,Moderate affect,Moderate affect,Less affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect
Moderate affect,High affect,Moderate affect,High affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,High affect,High affect,High affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect
Less affect,Moderate affect,Moderate affect,Less affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect
Moderate affect,Moderate affect,Moderate affect,Less affect,Less affect,High affect,Moderate affect,High affect,High affect,Moderate affect,High affect,Moderate affect,Moderate affect,High affect,High affect,Moderate affect,Moderate affect,Moderate affect,Less affect,High affect,High affect,High affect,High affect,Moderate affect,Moderate affect,High affect,Less affect,Moderate affect,Moderate affect,Less affect,Less affect,Moderate affect,Moderate affect,Moderate affect
Moderate affect,High affect,Moderate affect,Moderate affect,Moderate affect,High affect,High affect,Less affect,Less affect,Moderate affect,High affect,Moderate affect,Less affect,High affect,High affect,High affect,High affect,High affect,High affect,Moderate affect,High affect,Less affect,High affect,High affect,High affect,High affect,Less affect,Less affect,Less affect,Less affect,Moderate affect,Moderate affect,Less affect,Less affect
High affect,Moderate affect,Moderate affect,High affect,Moderate affect,High affect,Moderate affect,High affect,Less affect,High affect,High affect,High affect,Moderate affect,Moderate affect,High affect,High affect,High affect,High affect,High affect,Less affect,High affect,Moderate affect,High affect,High affect,Moderate affect,Moderate affect,High affect,Moderate affect,High affect,Moderate affect,High affect,High affect,Less affect,High affect
Less affect,Moderate affect,High affect,Less affect,High affect,Less affect,Less affect,Moderate affect,Less affect,High affect,Less affect,High affect,High affect,Less affect,Less affect,High affect,High affect,Moderate affect,Less affect,Less affect,Moderate affect,Less affect,Less affect,Less affect,Less affect,Less affect,Less affect,Moderate affect,High affect,High affect,High affect,Moderate affect,Less affect,Less affect
Less affect,Moderate affect,Less affect,High affect,Less affect,Less affect,Moderate affect,Less affect,High affect,Moderate affect,Moderate affect,High affect,Moderate affect,High affect,High affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,High affect,High affect,Moderate affect,Moderate affect,Moderate affect,Moderate affect,Less affect,Less affect,High affect,Less affect,Moderate affect,High affect,High affect,High affect
Less affect,Less affect,High affect,Moderate affect,Less affect,Less affect,Less affect,Moderate affect,Less affect,High affect,Moderate affect,High affect,Less affect,Moderate affect,High affect,Moderate affect,High affect,High affect,High affect,Moderate affect,High affect,High affect,High affect,High affect,Moderate affect,Moderate affect,High affect,Moderate affect,High affect,Moderate affect,Moderate affect,High affect,Less affect,Moderate affect
High affect,Less affect,Less affect,Moderate affect,Moderate affect,High affect,High affect,High affect,Moderate affect,Less affect,Less affect,Moderate affect,High affect,Moderate affect,Less affect,Less affect,Moderate affect,Less affect,High affect,Moderate affect,Less affect,Less affect,Moderate affect,High affect,Less affect,Moderate affect,Less affect,High affect,Moderate affect,High affect,Less affect,Moderate affect,Less affect,Less affect
